time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.80231170854e-05,1.81781066632e-06,10.0037890049,0.000335279632299,0.0126970433328,0.0,-0.00290544010362,0.000104205371178,0.126288425535,-0.00765543974249,0.0378523234817,0.0,443.10355816899846,446.20390450837033,445.98740220614104,445.3618561902017
0.12000000000000001,-0.000477367879176,1.42598500276e-05,10.0131411205,0.000347463057001,0.0149615085684,0.0,-0.011625175701,0.000305535406224,0.185437509049,-0.00123824944299,0.0358524015018,0.0,423.56750499686274,423.3962307541222,423.81032928224903,424.3615245669337
0.18,-0.00153235755039,5.2007645253e-05,10.0298479154,0.00326808875643,0.0171661647406,0.0,-0.0237980985468,0.00126737567367,0.371408453908,0.0165573279953,0.0318483307912,0.0,463.64405965036275,463.3298703851681,462.7345368711273,464.1329986909689
0.23999999999999996,-0.00334763016655,0.000203980893382,10.0562284368,0.00454482781378,0.0203942256702,0.0,-0.0370717552979,0.00393022616338,0.507883634359,0.0213100921328,0.0180188951351,0.0,449.4622688894768,448.34042407963216,447.9643730969335,448.3505573030656
0.3,-0.00602468322739,0.000549274035391,10.0901285294,0.00829822507713,0.0258051245262,0.0,-0.0527505713386,0.00795322266766,0.622048114682,0.0373846759973,-0.00600678586371,0.0,443.3191491410274,441.3408103694131,440.4415929786862,441.7690250241472
0.36000000000000004,-0.00977357625152,0.00122498758318,10.1318971589,0.0121928132,0.0293711570438,0.0,-0.0725771152181,0.0149805945315,0.770136622433,0.0503131983553,0.0145329199597,0.0,451.1534282481197,452.80854616286194,452.32845339394424,453.36917196159874
0.4200000000000001,-0.0148473730628,0.00244886840544,10.1843264796,0.019472072912,0.0336136486275,0.0,-0.097022891177,0.0266993719427,0.977324311453,0.0264701674317,0.0334798613363,0.0,469.8215303169777,471.2880495511631,471.26286608496076,469.41744218974014
0.48000000000000015,-0.0215413810199,0.00455456079663,10.2505362612,0.0223092390664,0.0390396569851,0.0,-0.12675490308,0.0438245500515,1.22939980955,0.0375710495461,0.0525652781911,0.0,482.8468592767231,484.2850714696282,483.8681928722618,484.7032903720895
0.5400000000000001,-0.0299594486284,0.00765653392938,10.3269833179,0.0269653614714,0.0435274959834,0.0,-0.154308694136,0.0600575829732,1.31870344641,0.0193513947309,0.0386562988745,0.0,434.49146146863256,433.3253936059552,437.3766692112657,435.85716718104027
0.6000000000000002,-0.0402621486906,0.0119480753528,10.4121619883,0.0374499955468,0.0458563774312,0.0,-0.189380528844,0.0842536694576,1.52028443985,-0.0153189632347,0.0358495939618,0.0,469.9540877299556,469.7371029575865,471.65583943065724,468.97078276878494
0.6600000000000003,-0.0526186579966,0.017809798263,10.5071297898,0.0388074568329,0.0484584005069,0.0,-0.222764670217,0.111256903978,1.64511558526,5.30594321359e-05,0.0421036691578,0.0,447.63172238970594,448.14100723338964,446.295939222748,447.5488468822901
0.7200000000000003,-0.0670182277515,0.0253038647527,10.6092010088,0.039311784699,0.0518105907308,0.0,-0.257552924032,0.138599228529,1.75706811018,-0.00899400116507,0.0509312328802,0.0,443.0385315050183,443.76486989731995,444.5738729571602,443.8320806396206
0.7800000000000004,-0.0836616586843,0.0345284457114,10.71961871,0.0431882310304,0.0550797212937,0.0,-0.297576764585,0.169335046544,1.92321150778,-0.0332455216523,0.0549301189853,0.0,461.50065256582633,461.81782037894607,461.1471382607926,459.227658447553
0.8400000000000004,-0.102733668061,0.045624255784,10.8391432958,0.0416600617978,0.0583738870434,0.0,-0.338499871264,0.200357922323,2.06068190562,-0.0420238234794,0.054845057447,0.0,453.105251576756,453.10037136699816,452.8763485895489,452.16919365147805
0.9000000000000005,-0.12438469735,0.058592248898,10.9677511807,0.0429320238285,0.061979585903,0.0,-0.383595926653,0.232012627018,2.22589998285,-0.0218546898158,0.0473805634895,0.0,462.07740896620135,461.4902931664833,461.1036458667646,462.6936413060705
0.9600000000000005,-0.149124735237,0.0737187968413,11.1111269031,0.0484967757715,0.0648975733849,0.0,-0.441424896844,0.272890179984,2.55254563876,0.00569532821016,0.0494143508608,0.0,508.90402221152135,509.05065759798714,508.0440434186261,510.0155398281218
1.0200000000000005,-0.176901706217,0.0910661236529,11.2660669896,0.0565969022474,0.0709272405487,0.0,-0.485065727516,0.306151701087,2.61188998324,-0.0260406688128,0.0289990924458,0.0,432.19398726595625,430.470993163873,432.21018184676143,429.5271957675501
1.0800000000000005,-0.20770456628,0.110775203295,11.4288060416,0.0566216072767,0.0732718106868,0.0,-0.541931169612,0.350774547033,2.81223511217,-0.0133880355871,0.0364009981839,0.0,475.37865563928773,475.94577290174755,474.0325359303576,475.0038142720126
1.1400000000000006,-0.24164993455,0.132918024031,11.5991334163,0.0582072199788,0.0757713971971,0.0,-0.589820010158,0.387475562584,2.86516633755,-0.031561832382,0.0289315705624,0.0,430.4584763376547,429.8264348311453,431.85390384151845,430.31820753579063
1.2000000000000006,-0.278603850923,0.157400676006,11.7737833471,0.071388634172,0.0776647363682,0.0,-0.642160002094,0.429881340483,2.95614292595,0.00978755702683,0.0232221638594,0.0,442.8905190045025,442.4208554139136,442.13510944690967,445.52874181052573
1.2600000000000007,-0.318801109651,0.18467147772,11.9541409117,0.0724012296184,0.0900190799512,0.0,-0.699025733822,0.479209640254,3.05536323761,0.0158319289531,-0.0142650495776,0.0,448.80289396265704,445.7498377805089,445.7430126213399,446.2365791585893
